ACF Ethanol Futures
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,2,0,11,0,1.439,1.439,1.439,1.439,1.439,1,1.444,0,323
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,3,0,11,0,----,----,----,----,1.470,0,1.470,0,264
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,4,0,11,0,1.477,1.477,1.477,1.477,1.493,1,1.491,0,189
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,5,0,11,0,----,----,----,----,1.519,0,1.519,0,118
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,6,0,11,0,----,----,----,----,1.541,0,1.541,0,123
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,7,0,11,0,----,----,----,----,1.600,0,1.600,0,76
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,8,0,11,0,----,----,----,----,1.621,0,1.621,0,61
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,9,0,11,0,----,----,----,----,1.641,0,1.641,0,53
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,10,0,11,0,----,----,----,----,1.655,0,1.655,0,80
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,11,0,11,0,----,----,----,----,1.656,0,1.656,0,74
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,12,0,11,0,----,----,----,----,1.635,0,1.635,0,76
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,1,0,12,0,----,----,----,----,1.630,0,1.630,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,2,0,12,0,----,----,----,----,1.646,0,1.646,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,3,0,12,0,----,----,----,----,1.660,0,1.660,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,4,0,12,0,----,----,----,----,1.683,0,1.683,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,5,0,12,0,----,----,----,----,1.693,0,1.693,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,6,0,12,0,----,----,----,----,1.693,0,1.693,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,7,0,12,0,----,----,----,----,1.700,0,1.700,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,8,0,12,0,----,----,----,----,1.700,0,1.700,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,9,0,12,0,----,----,----,----,1.725,0,1.725,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,10,0,12,0,----,----,----,----,1.730,0,1.730,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,11,0,12,0,----,----,----,----,1.735,0,1.735,0,0
12/31/10 06:00 PM,CSC Cash Settled Cheese Future,F,12,0,12,0,----,----,----,----,1.740,0,1.740,0,0
CSI Soybean-Corn Inter-Commodity Synthetic Future
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,3,0,11,0,----,2.252,2.227,2.231,2.231,0,2.234,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,5,0,11,0,----,2.224,2.191,2.214,2.214,0,2.216,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,6,0,11,0,----,2.342,2.311,2.328,2.328,0,2.330,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,7,0,11,0,----,2.220,2.183,2.205,2.205,0,2.206,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,8,0,11,0,----,2.342,2.311,2.328,2.328,0,2.330,0,0
12/31/10 06:00 PM,CSI Soybean-Corn Inter-Commodity Synthetic Future,F,9,0,11,0,----,2.258,2.227,2.256,2.262,0,2.258,0,0
